eraFlags, epochCount, epoch01, epoch02, epoch03, epoch04, epoch05, epoch06, epoch07, epoch08, epoch09, epoch10, epoch11, epoch12, epoch13, epoch14, epoch15,Sleep,Comments
4:22:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,98%,
4:25:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,98%,
4:27:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,98%,
4:30:00 am,15, 8:0, 8:0, 8:0, 7:3, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
4:32:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
4:35:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
4:37:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
4:40:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
4:42:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
4:45:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
4:47:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
4:50:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 7:2, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
4:52:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
4:55:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
4:57:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
5:00:00 am,15, 8:0, 8:0, 8:0, 8:0, 7:1, 7:3, 8:0, 5:0, 7:3, 7:2, 8:0, 7:2, 7:1, 5:0, 7:3,93%,Not 375 consecutive EPOCHs so sleep does not end.
5:02:30 am,15, 8:1, 7:3, 8:1, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,93%,
5:05:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,93%,
5:07:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,93%,
5:10:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 7:2, 8:0,92%,
5:12:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 7:3, 8:1, 8:0, 8:0, 8:0, 8:0, 8:0,91%,
5:15:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,92%,
5:17:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,92%,
5:20:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 7:3,91%,
5:22:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,91%,
5:25:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,97%,
5:27:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,98%,
5:30:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,98%,
5:32:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,98%,
5:35:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
5:37:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
5:40:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
5:42:30 am,15, 1:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
5:45:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
5:47:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
5:50:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
5:52:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 7:2, 8:1, 8:0, 8:0, 8:0, 8:0,99%,
5:55:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 7:2, 8:0, 8:1, 7:1, 8:0, 8:0, 7:2,97%,
5:57:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,97%,
6:00:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,97%,
6:02:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:1, 7:3, 5:0, 5:0, 1:0, 1:0, 1:0, 6:3, 6:3, 6:2, 6:2,90%,Sleep would have ended at start of 375 consecutive EPOCHs
6:05:00 am,15, 7:1, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0, 7:0,80%,
